Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR23126344,2023-09-07 15:36:32,2023-01-19 15:04:32,168486,75649846,168486,448,17,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR023/23126/SRR23126344/SRR23126344.lite.1,SRX19077270,m1_1_7_16S,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP418302,PRJNA925518,,925518,SRS16492230,SAMN32798682,simple,662107,phyllosphere metagenome,m1_1_7,,,,,,,no,,,,,MARS WRIGLEY,SRA1576723,,public,191099C5B350000FD32406A82A66C7C5,28AF2288CE4AAB629A5F8FF5C3B170B9
SRR23126346,2023-09-07 15:36:32,2023-01-19 15:04:32,174402,77782716,174402,445,24,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR023/23126/SRR23126346/SRR23126346.lite.1,SRX19077268,m1_2_11F_ITS,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP418302,PRJNA925518,,925518,SRS16492228,SAMN32798734,simple,662107,phyllosphere metagenome,m1_2_11F,,,,,,,no,,,,,MARS WRIGLEY,SRA1576723,,public,B8CA2ECF983AE19B008F1F1FCB27F9EA,CB2463428C42016598907E53A0B04102
SRR23126345,2023-09-07 15:36:32,2023-01-19 15:04:33,164842,73518978,164842,445,24,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR023/23126/SRR23126345/SRR23126345.lite.1,SRX19077269,m3_2_1F_ITS,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP418302,PRJNA925518,,925518,SRS16492229,SAMN32798735,simple,662107,phyllosphere metagenome,m3_2_1F,,,,,,,no,,,,,MARS WRIGLEY,SRA1576723,,public,A5BE43951A4C7BA015B04CB0C1AD1C77,CE593BB232C95D602B06FD31D1772A26
SRR23126343,2023-09-07 15:36:33,2023-01-19 15:04:32,168862,75312102,168862,445,24,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR023/23126/SRR23126343/SRR23126343.lite.1,SRX19077271,m3_2_2F_ITS,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP418302,PRJNA925518,,925518,SRS16492231,SAMN32798736,simple,662107,phyllosphere metagenome,m3_2_2F,,,,,,,no,,,,,MARS WRIGLEY,SRA1576723,,public,EE33B544F5411CA4B32762F15CDD7AB1,1FE5FD023F046E8DE3687BBD7B1E1101
SRR23126342,2023-09-07 15:36:33,2023-01-19 15:04:43,189249,84404348,189249,445,28,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR023/23126/SRR23126342/SRR23126342.lite.1,SRX19077272,m3_2_3F_ITS,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP418302,PRJNA925518,,925518,SRS16492232,SAMN32798737,simple,662107,phyllosphere metagenome,m3_2_3F,,,,,,,no,,,,,MARS WRIGLEY,SRA1576723,,public,EBB69C3910A4B6774103B4E4F7D33549,73DDFBD31BAC00B7D0DB62EE279731F8
SRR23126347,2023-09-07 15:36:32,2023-01-19 15:04:04,163441,72894035,163441,445,22,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR023/23126/SRR23126347/SRR23126347.lite.1,SRX19077267,m1_2_10F_ITS,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP418302,PRJNA925518,,925518,SRS16492227,SAMN32798733,simple,662107,phyllosphere metagenome,m1_2_10F,,,,,,,no,,,,,MARS WRIGLEY,SRA1576723,,public,D6F1DA6263DB579BAE8CB0BC91E7581E,62B92BBDEB2F28C39989EED5633C69D2
SRR23126351,2023-09-07 15:36:32,2023-01-19 15:04:33,158408,70649679,158408,445,23,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR023/23126/SRR23126351/SRR23126351.lite.1,SRX19077263,m1_2_6F_ITS,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP418302,PRJNA925518,,925518,SRS16492223,SAMN32798729,simple,662107,phyllosphere metagenome,m1_2_6F,,,,,,,no,,,,,MARS WRIGLEY,SRA1576723,,public,7218BADBCED0B980264801A8185388D8,3142CAC90D1819D1C982EE6CD8A18AAD
SRR23126350,2023-09-07 15:36:32,2023-01-19 15:04:32,169315,75514254,169315,445,24,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR023/23126/SRR23126350/SRR23126350.lite.1,SRX19077264,m1_2_7F_ITS,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP418302,PRJNA925518,,925518,SRS16492224,SAMN32798730,simple,662107,phyllosphere metagenome,m1_2_7F,,,,,,,no,,,,,MARS WRIGLEY,SRA1576723,,public,F4867D54D8A651A47EB6235058B1EA07,ADDD9F7C5D9D9C0209BEB168C52D2751
SRR23126349,2023-09-07 15:36:32,2023-01-19 15:04:30,153761,68577231,153761,445,22,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR023/23126/SRR23126349/SRR23126349.lite.1,SRX19077265,m1_2_8F_ITS,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP418302,PRJNA925518,,925518,SRS16492225,SAMN32798731,simple,662107,phyllosphere metagenome,m1_2_8F,,,,,,,no,,,,,MARS WRIGLEY,SRA1576723,,public,14D34415F389869752E8B3C7173FC7E0,22E3101987B4BBD586B9330246DF5FEE
SRR23126348,2023-09-07 15:36:32,2023-01-19 15:04:42,186214,83051224,186214,445,26,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR023/23126/SRR23126348/SRR23126348.lite.1,SRX19077266,m1_2_9F_ITS,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP418302,PRJNA925518,,925518,SRS16492226,SAMN32798732,simple,662107,phyllosphere metagenome,m1_2_9F,,,,,,,no,,,,,MARS WRIGLEY,SRA1576723,,public,868D476C7EA9D92351EB8330EF7A56EB,18BA630D3669A0D8905F61010DC4460B
SRR23126355,2023-09-07 15:36:32,2023-01-19 15:04:32,179077,80405020,179077,448,17,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR023/23126/SRR23126355/SRR23126355.lite.1,SRX19077259,m1_1_6_16S,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP418302,PRJNA925518,,925518,SRS16492220,SAMN32798681,simple,662107,phyllosphere metagenome,m1_1_6,,,,,,,no,,,,,MARS WRIGLEY,SRA1576723,,public,A8CCEE2B66C0B4C22BF88D2D2A6EDAC7,D340FC4A93F5C96440390899D6728FC4
SRR23126356,2023-09-07 15:36:32,2023-01-19 15:04:33,180949,80702475,180949,445,25,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR023/23126/SRR23126356/SRR23126356.lite.1,SRX19077258,m1_2_2F_ITS,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP418302,PRJNA925518,,925518,SRS16492217,SAMN32798725,simple,662107,phyllosphere metagenome,m1_2_2F,,,,,,,no,,,,,MARS WRIGLEY,SRA1576723,,public,E29CEF38C4D3E7A849138D3BBCABC7AC,90B8389CDACEDD4260F73BBDEC95EAA2
