Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR10614080,2020-03-12 09:40:50,2019-12-10 04:55:51,177581,106372795,177581,599,67,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR010/614/SRR10614080.sralite.1,SRX7293326,Bac_T9,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP235361,PRJNA594470,,594470,SRS5786646,SAMN13519313,simple,1297858,leaf metagenome,Tree09,,,,,,,no,,,,,GENOMIC AND APPLIED MICROBIOLOGY & GOETTINGEN GENOMICS LABORATORY,SRA1008811,,public,114DDFB9790FAEBD235E89D04016DAAD,A745634C360F2F1730E490C875768452
SRR10614083,2020-03-12 09:40:50,2019-12-10 04:56:27,26182,14429356,26182,551,9,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR010/614/SRR10614083.sralite.1,SRX7293323,Fun_T14,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP235361,PRJNA594470,,594470,SRS5786617,SAMN13519318,simple,1297858,leaf metagenome,Tree14,,,,,,,no,,,,,GENOMIC AND APPLIED MICROBIOLOGY & GOETTINGEN GENOMICS LABORATORY,SRA1008811,,public,8510236D4E7AA15A78DC789C82F2EE31,22929C7CD57F2FE0C90FAEC3B165CEBF
SRR10614082,2020-03-12 09:40:50,2019-12-10 04:56:28,97452,58386595,97452,599,37,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR010/614/SRR10614082.sralite.1,SRX7293324,Fun_T15,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP235361,PRJNA594470,,594470,SRS5786618,SAMN13519319,simple,1297858,leaf metagenome,Tree15,,,,,,,no,,,,,GENOMIC AND APPLIED MICROBIOLOGY & GOETTINGEN GENOMICS LABORATORY,SRA1008811,,public,AF79570B716CCC6C41DB938F5B24AE9E,C71A7806D8EEC398B68EC03089F68F24
SRR10614081,2020-03-12 09:40:50,2019-12-10 04:55:51,46481,27770773,46481,597,17,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR010/614/SRR10614081.sralite.1,SRX7293325,Fun_T16,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP235361,PRJNA594470,,594470,SRS5786619,SAMN13519320,simple,1297858,leaf metagenome,Tree16,,,,,,,no,,,,,GENOMIC AND APPLIED MICROBIOLOGY & GOETTINGEN GENOMICS LABORATORY,SRA1008811,,public,CF196174C9AF527B74C5C1AAA4598C50,1464138C88484A86956BBB5BF9E3E9E0
SRR10614079,2020-03-12 09:40:50,2019-12-10 04:55:55,109343,65483999,109343,598,41,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR010/614/SRR10614079.sralite.1,SRX7293327,Fun_T17,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP235361,PRJNA594470,,594470,SRS5786620,SAMN13519321,simple,1297858,leaf metagenome,Tree17,,,,,,,no,,,,,GENOMIC AND APPLIED MICROBIOLOGY & GOETTINGEN GENOMICS LABORATORY,SRA1008811,,public,9138AC0B76BD5C13DA69F2A2C082AA22,854C3BE0E2C5144B868DD1D57311B450
SRR10614088,2020-03-12 09:40:50,2019-12-10 04:56:47,30487,12491991,30487,409,7,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR010/614/SRR10614088.sralite.1,SRX7293318,Fun_T9,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP235361,PRJNA594470,,594470,SRS5786646,SAMN13519313,simple,1297858,leaf metagenome,Tree09,,,,,,,no,,,,,GENOMIC AND APPLIED MICROBIOLOGY & GOETTINGEN GENOMICS LABORATORY,SRA1008811,,public,89C2D4EBB052CE14FBEE427309257CA3,991CAC8339CB8C3E1279F1162BEB196F
SRR10614087,2020-03-12 09:40:50,2019-12-10 04:56:40,35320,17446708,35320,493,11,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR010/614/SRR10614087.sralite.1,SRX7293319,Fun_T10,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP235361,PRJNA594470,,594470,SRS5786647,SAMN13519314,simple,1297858,leaf metagenome,Tree10,,,,,,,no,,,,,GENOMIC AND APPLIED MICROBIOLOGY & GOETTINGEN GENOMICS LABORATORY,SRA1008811,,public,31B75FEDAA0B273557BAF63F52A554E3,9399BFA6DAC94E852B2732BF29610284
SRR10614086,2020-03-12 09:40:50,2019-12-10 04:56:34,43472,25863946,43472,594,16,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR010/614/SRR10614086.sralite.1,SRX7293320,Fun_T11,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP235361,PRJNA594470,,594470,SRS5786586,SAMN13519315,simple,1297858,leaf metagenome,Tree11,,,,,,,no,,,,,GENOMIC AND APPLIED MICROBIOLOGY & GOETTINGEN GENOMICS LABORATORY,SRA1008811,,public,11B80B148EF4768EEBE0D658A75AA685,AD4F966E195DCD8F4211CDFE997DE6E9
SRR10614085,2020-03-12 09:40:50,2019-12-10 04:56:20,44110,21569433,44110,488,14,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR010/614/SRR10614085.sralite.1,SRX7293321,Fun_T12,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP235361,PRJNA594470,,594470,SRS5786597,SAMN13519316,simple,1297858,leaf metagenome,Tree12,,,,,,,no,,,,,GENOMIC AND APPLIED MICROBIOLOGY & GOETTINGEN GENOMICS LABORATORY,SRA1008811,,public,F195D377167ADF07A6429C69CD95D97C,2E56A22D6FC034468354AB2467B2752E
SRR10614084,2020-03-12 09:40:50,2019-12-10 04:56:23,37586,21120066,37586,561,13,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR010/614/SRR10614084.sralite.1,SRX7293322,Fun_T13,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP235361,PRJNA594470,,594470,SRS5786608,SAMN13519317,simple,1297858,leaf metagenome,Tree13,,,,,,,no,,,,,GENOMIC AND APPLIED MICROBIOLOGY & GOETTINGEN GENOMICS LABORATORY,SRA1008811,,public,D2A1C54A27AC6CB4D939F483F148FF5C,95C49D51D0EAE5B9E96A2CCF204CD0D2
